com_nam,lin_ima,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb,org_tp,
"SULLIVAN FOR US SENATE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00551093&tabIndex=1","S","P","T","3705 ARCTIC BLVD #447","ANCHORAGE","AK","995035774","ERIC CAMPBELL","C00551093","2016",,,,,,,,,,,,,,,,,"$190.00",,,,,"$16,925.00",,"$144,978.00",,,,"$16,735.00",,,,,,,,,,,"$19,976.00",,,,,,"$32,000.00",,"$196,954.00",,"$128,242.00","$180,029.00",,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUMPTION FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00469940&tabIndex=1","H","P","Q","29681 N. WAUKEGAN ROAD, #106","LAKE BLUFF","IL","60044","Milton J. Sumption","C00469940","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,301.67",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUN CITY DEMOCRATS CLUB INFORMED MEMBER PAC OF TEXAS (IMPACT)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00429233&tabIndex=1","N","U","Q","1530 SUN CITY BLVD SUITE 120  PMB 475","GEORGETOWN","TX","78633","A DWAINE BOYDSTUN","C00429233","2016",,"$120.00","$120.00",,,,,,"$120.00",,,,,,,,,,,,,"$120.00","$120.00",,,,"$42.00",,,,,,,,,,,,,,,,,,,"$42.00","$42.00","$120.00","$42.00","$57.08","$135.08",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$42.00",,,,,,,,,,,"M",
"SUN POLITICAL ACTION COMMITTEE (SUNPAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00378216&tabIndex=1","Q","U","Q","999 PONCE DE LEON BOULEVARD SUITE 625","CORAL GABLES","FL","33134","STEWART APPELROUTH","C00378216","2016","$53,750.00",,"$53,750.00",,,,,,"$53,750.00",,,,,,,,,,,,,"$53,751.91","$53,751.91",,,,"$1,434.00","$1.91",,,,,"$27,000.00",,,,,,,,,,,,,"$28,434.00","$28,434.00","$53,750.00","$1,432.09","$598.76","$25,916.67",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$1,434.00",,,,,,,,,,,"",
"SUNEDISON INC EMPLOYEES PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00489310&tabIndex=1","N","U","Q","600 CLIPPER DRIVE","BELMONT","CA","94002","SHAW, POLLY N","C00489310","2016","$11,155.50","$65.00","$11,220.50","$200.00",,,,,"$11,220.50","$200.00",,,,,,,,,,,,"$11,420.50","$11,420.50",,,,"$42.63","$200.00",,,,,"$13,500.00",,,,,,,,,,,,"$500.00","$14,242.63","$14,242.63","$11,020.50","-$157.37","$23,001.00","$20,178.87",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$42.63",,,,,,,,,,,"C",
"SUNKIST GROWERS, INC., PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00099002&tabIndex=1","Q","U","Q","27770 N. ENTERTAINMENT DRIVE","VALENCIA","CA","91355","KAUNE, JASON D.","C00099002","2016","$5,872.88","$1,799.17","$7,672.05",,,,,,"$7,672.05",,,,,,,,,,,,,"$7,672.05","$7,672.05",,,,"$32.55",,,,,,"$15,750.00",,,,,,,,,,,,,"$15,782.55","$15,782.55","$7,672.05","$32.55","$34,538.04","$26,427.54",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$32.55",,,,,,,,,,,"M",
"SUNOVION PHARMACEUTICALS INC. GOOD GOVERNANCE FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00423236&tabIndex=1","Q","B","Q","84 WATERFORD DRIVE","MARLBOROUGH","MA","01752","FREEMAN, STEPHEN","C00423236","2016","$6,895.00","$13,556.50","$20,451.50",,,,,,"$20,451.50",,,,,,,,,,,,,"$20,451.50","$20,451.50",,,,"$22.00",,,,,,"$21,000.00",,,,,,,,,,,,"$1,000.00","$22,022.00","$22,022.00","$20,451.50","$22.00","$41,528.28","$39,957.78",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$22.00",,,,,,,,,,,"C",
"SUNRISE MEDICAL (US) LLC POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00436097&tabIndex=1","N","U","Q","6899 WINCHESTER CIRCLE SUITE 200 ATTN JOHN CARTER","BOULDER","CO","80301","DUSTIN HENRY","C00436097","2016","$1,020.00","$60.00","$1,080.00",,,,,,"$1,080.00",,,,,,,,,,,,,"$1,080.00","$1,080.00",,,,,,,,,,"$500.00",,,,,,,,,,,,,"$500.00","$500.00",,,"$13,400.00","$13,980.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUNRUN INC POLITICAL ACTION COMMITTEE (SUNRUN PAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00489302&tabIndex=1","N","U","M","595 MARKET STREET 29THFLOOR","SAN FRANCISCO","CA","94105","WONG, ANGELA","C00489302","2016","$10,000.00",,"$10,000.00",,,,,,"$10,000.00",,,,,,,,,,,,,"$10,000.00","$10,000.00",,,,,,,,,,"$8,500.00",,,,,,,,,,,,,"$8,500.00","$8,500.00","$10,000.00",,"$150.00","$1,650.00",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUNTRUST BANK GOOD GOVERNMENT GROUP - GEORGIA","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00009639&tabIndex=1","Q","U","M","P.O. BOX 4418 MC 041","ATLANTA","GA","30303","BEYERS, CHRISTIAN D. MR.","C00009639","2016","$45,024.64","$81,408.34","$126,432.98",,,,,,"$126,432.98",,,,,,,,,,,,,"$126,432.98","$126,432.98",,,,,,,,,,"$54,000.00",,,,,,,,,,,,"$66,450.00","$120,450.00","$120,450.00","$126,432.98",,"$79,239.98","$85,222.96",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUNTRUST BANK GOOD GOVERNMENT GROUP - MID-ATLANTIC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00214965&tabIndex=1","Q","U","Q","919 EAST MAIN STREET","RICHMOND","VA","23219","BRENDA L.  SKIDMORE","C00214965","2016","$25,455.73","$37,809.07","$63,264.80",,,,,,"$63,264.80",,,,,,,,,,,,,"$63,264.80","$63,264.80",,,,,,,,,,"$31,500.00",,,,,,,,,,,,"$55,000.00","$86,500.00","$86,500.00","$63,264.80",,"$90,983.80","$67,748.60",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUNTRUST BANK GOOD GOVERNMENT GROUP FLORIDA","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00111567&tabIndex=1","Q","U","M","215 SOUTH MONROE STREET SUITE 125 .","TALLAHASSEE","FL","32301","BRINKLEY, LINDA MS.","C00111567","2016","$55,723.52","$5,095.45","$60,818.97",,,,,,"$60,818.97",,,,,,,,,,,,"$62.68","$60,881.65","$60,881.65",,,,,,,,,,"$10,500.00",,,,,,"$20,000.00",,,,,,,"$30,500.00","$30,500.00","$60,818.97",,"$299,292.68","$329,674.33",,,"2015-01-01","2015-08-31",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUNTRUST BANKS OF TENNESSEE, INC., GOOD GOVERNMENT FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00043265&tabIndex=1","Q","U","Q","9950 KINGSTON PIKE","KNOXVILLE","TN","37922","HINE, EUGENE S. MR.","C00043265","2016","$2,648.37","$7,159.77","$9,808.14",,,,,,"$9,808.14",,,,,,,,,,,,,"$9,808.14","$9,808.14",,,,,,,,,,"$9,000.00",,,,,,,,,,,,"$7,761.00","$16,761.00","$16,761.00","$9,808.14",,"$64,272.08","$57,319.22",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUNTRUST PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00386524&tabIndex=1","Q","U","Q","919 E MAIN STREET","RICHMOND","VA","23219","SKIDMORE, BRENDA L.  ","C00386524","2016","$139,841.97","$29,750.04","$169,592.01",,,,,,"$169,592.01",,,,,,,,,,,,,"$169,592.01","$169,592.01",,,,,,,,,,"$109,500.00",,,,,,,,,,,,,"$109,500.00","$109,500.00","$169,592.01",,"$350,783.44","$410,875.45",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUPER 6 PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00540401&tabIndex=1","O","U","T","6006 36TH AVENUE SW","SEATTLE","WA","98126","JENNIFER L WITT","C00540401","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012-05-01","2015-01-09",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUPER PAC FOR AMERICA","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00489781&tabIndex=1","O","U","Q","610 S BOULEVARD","TAMPA","FL","33606","NANCY H WATKINS","C00489781","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,182.29","$5,182.29",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUPER PAC PARTIES","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00559831&tabIndex=1","O","U","T","PO BOX 731972","PUYALLUP","WA","98373","RONALD C GARNER","C00559831","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,"$647.00",,,,,,,,,,,,,,,,,,,,"$647.64",,"$647.64","$986.00","$338.00","$3,000.00",,"2015-01-01","2015-06-13",,"",,,,,,,,,,,"$647.00",,,,,,,,,,,"",
"SUPER WOMEN PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00528067&tabIndex=1","O","U","Q","1050 17TH STREET NW SUITE 590","WASHINGTON","DC","20036","JANICA KYRIACOPOULOS","C00528067","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,343.58","$6,343.58",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUPERGEEK PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00510339&tabIndex=1","N","U","Q","708 GRAVENSTEIN HWY N., SUITE 230","SEBASTOPOL","CA","95472","COOPER, GINA","C00510339","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,270.86","$1,270.86","$15,835.67",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUPERIOR AIR-GROUND AMBULANCE SERVICE INC EMPLOYEES PAC (SUPERIOR AMBULANCE EMPLOYEES P","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00545558&tabIndex=1","N","U","M","395 WEST LAKE STREET","ELMHURST","IL","60126","LEONARD, FRANCIS J.","C00545558","2016","$9,416.00","$558.00","$9,974.00",,,,,,"$9,974.00",,,,,,,,,,,,,"$9,974.00","$9,974.00",,,,"$70.00",,,,,,"$5,500.00",,,,,,,,,,,,"$5,225.00","$10,795.00","$10,795.00","$9,974.00","$70.00","$3,604.55","$2,783.55",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$70.00",,,,,,,,,,,"C",
"SUPERIOR CALIFORNIA FEDERAL LEADERSHIP PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00317511&tabIndex=1","Q","U","M","2150 RIVER PLAZA DR. #150","SACRAMENTO","CA","95833","BAUER, DAVID","C00317511","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$934.32","$934.32",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUPIMA POLITICAL ACTION COMMITTEE-SUPAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00038927&tabIndex=1","Q","U","Q","4141 E, BROADWAY","PHOENIX","AZ","85040","CURLEE, JESSE W. MR. ","C00038927","2016",,"$200.00","$200.00",,,,,,"$200.00",,,,,,,,,,,,,"$200.00","$200.00",,,,,,,,,,"$500.00",,,,,,,,,,,,"$90.00","$590.00","$590.00","$200.00",,"$2,192.22","$1,802.22",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"T",
"SUPPORT AND DEFEND PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00552521&tabIndex=1","N","U","Q","PO BOX 2013","BOERNE","TX","78006","GRANT MOODY","C00552521","2016","$3,900.00",,"$3,900.00",,,,,,"$3,900.00",,,,,,,,,,,,"$16.00","$3,917.20","$3,917.20",,,,"$4,310.00",,,,,,,,,,,,,,,,,,,"$4,310.00","$4,310.00","$3,900.00","$4,310.00","$6,587.00","$6,044.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$4,310.00",,,,,,,,,,,"",
"SUPPORT TO ENSURE VICTORY EVERYWHERE PAC-STEVE PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00501478&tabIndex=1","Q","D","M","228 S WASHINGTON ST STE 115","ALEXANDRIA","VA","22314","LISKER, LISA","C00501478","2016","$6,500.00",,"$6,500.00",,,"$86,000.00",,,"$92,500.00",,,,,,,,,,,,,"$92,500.00","$92,500.00",,,,"$43,206.93",,,,,,"$65,500.00",,,,,,,,,,,,,"$108,706.93","$108,706.93","$92,500.00","$43,206.93","$27,582.31","$11,375.38",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,"$43,206.93",,,,,,,,,,,"",
"SUPPORTERS OF ENGINEERS LOCAL 3 ENDORSED CANDIDATES","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00024422&tabIndex=1","Q","U","Q","1620 SOUTH LOOP ROAD","ALAMEDA","CA","94501","BURNS, RUSS  ","C00024422","2016",,"$24,512.00","$24,512.00","$5.00",,,,,"$24,512.00","$5.00",,,,,,,,,,,,"$24,512.00","$24,512.00",,,,,,,,,,"$12,799.48",,,,,,,,,,,,"$11,004.46","$23,808.94","$23,808.94","$24,507.00",,"$38,708.10","$39,411.16",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"L",
"SUPPORTING CONSERVATIVES OF TODAY AND TOMORROW (SCOTT PAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00453324&tabIndex=1","Q","D","Q","PO BOX 905","NEWTON","NJ","07860","KILGORE, PAUL","C00453324","2016","$1,500.00",,"$1,500.00",,,"$17,000.00",,,"$18,500.00",,,,,,,,,,,,,"$22,500.00","$22,500.00",,,,"$45,973.33",,,,,,"$9,650.00","$4,000.00",,,,,,,,,,,,"$55,623.33","$55,623.33","$18,500.00","$45,973.33","$51,802.39","$18,679.06",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$45,973.33",,,,,,,,,,,"",
"SUPPORTING HOUSE PROBLEM SOLVERS - SHP PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00563601&tabIndex=1","N","D","Q","1050 17TH ST NW STE 590","WASHINGTON","DC","20036","NICHOLAS R FEMIA","C00563601","2016","$5,000.00",,"$5,000.00",,,"$5,000.00",,,"$10,000.00",,,,,,,,,,,,,"$10,000.00","$10,000.00",,,,"$1,030.59",,,,,,"$11,000.00",,,,,,,,,,,,,"$12,030.59","$12,030.59","$10,000.00","$1,030.59","$18,837.25","$16,806.66",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$1,030.59",,,,,,,,,,,"",
"SUPPORTING UNITED STATES OF AMERICA'S NEXT LEADERS PAC (SUSAN PAC)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00564385&tabIndex=1","Q","U","Q","9425 N MERIDIAN STREET #237","INDIANAPOLIS","IN","46260","MAXWELL, THOMAS FRANCIS III","C00564385","2016","$500.00",,"$500.00",,,"$19,500.00",,,"$20,000.00",,,,,,,,,,,,,"$20,000.00","$20,000.00",,,,"$7,131.89",,,,,,"$10,000.00",,,,,,,,,,,,,"$17,131.89","$17,131.89","$20,000.00","$7,131.89","$10,534.54","$13,402.65",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$7,131.89",,,,,,,,,,,"",
"SURGERY PARTNERS, INC. POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00520833&tabIndex=1","N","U","Q","40 BURTON HILLS BOULEVARD SUITE 500","NASHVILLE","TN","37215","DEREK EDWARD BELL","C00520833","2016",,,,,,,,,,,,,,,,,,,,,"$1.21","$1.21","$1.21",,,,"$125.00",,,,,,,,,,,,,,,,,,,"$125.00","$125.00",,"$125.00","$4,918.29","$4,794.50",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$125.00",,,,,,,,,,,"C",
"SURGICAL CARE AFFILIATES POLITICAL ACTION COMMITTEE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00440743&tabIndex=1","Q","U","Q","569 BROOKWOOD VILLAGE SUITE 901","BIRMINGHAM","AL","35209","SHARFF, RICHARD L. JR.","C00440743","2016","$18,485.10","$9,068.93","$27,554.03",,,,,,"$27,554.03",,,,,,,,,,,,"$24.12","$27,578.15","$27,578.15",,,,,,,,,,"$9,000.00",,,,,,,,,,,,"$7,000.00","$16,000.00","$16,000.00","$27,554.03",,"$49,161.74","$60,739.89",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SURRY COUNTY DEMOCRATIC PARTY","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00570218&tabIndex=1","X","U","T","390 CASPER STEWART RD","LOWGAP","NC","270249170","TERESA L SMITH","C00570218","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SURVEY GROUP PAC; THE","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00569103&tabIndex=1","O","U","Q","PO BOX 1052","ALEXANDRIA","VA","22313","GABRIEL S JOSEPH III","C00569103","2016","$875.00",,"$875.00",,,,,,"$875.00",,,,,,,,,,,,,"$875.00","$875.00",,,,"$875.00",,,,,,,,,,,,,,,,,,,"$875.00","$875.00","$875.00","$875.00","$100.00","$100.00",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$875.00",,,,,,,,,,,"",
"SUSAN B ANTHONY LIST INC. CANDIDATE FUND","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00332296&tabIndex=1","Q","U","Q","1707 L STREET, NW SUITE 750","WASHINGTON","DC","20036","KANIA, ROBERT","C00332296","2016","$700.00","$1,068.00","$1,768.00",,,,,,"$1,768.00",,,,,,,,,,,,,"$1,768.00","$1,768.00",,,,"$658.19",,,,,,"$12,000.00",,,,,,,,,,,,,"$12,658.19","$12,658.19","$1,768.00","$658.19","$36,153.87","$25,263.68",,,"2015-01-01","2015-06-30",,"",,,,,,,,,,,"$658.19",,,,,,,,,,,"M",
"SUSAN DAVIS FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00344671&tabIndex=1","H","P","Q","PO BOX 84049","SAN DIEGO","CA","921384049","MURRAY, ALLISON","C00344671","2016","$43,100.00","$7,383.32","$50,483.32",,,"$56,500.00",,,"$106,983.32",,,,,,,,,,,,"$2.17","$106,985.49",,"$60,682.31",,,,,,,,,,,,,,,"$30,000.00",,,,,,"$450.00",,"$91,132.31","$106,983.32","$60,682.31","$241,803.50","$257,656.68",,,"2015-01-01","2015-06-30",,"H0CA49055",,,,,,,,,,,,,,,,,,,,,,"",
"SUSAN GRETTENBERGER FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00558239&tabIndex=1","H","P","Q","PO BOX 16060","LANSING","MI","48901","ISAAC FRANCISCO","C00558239","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,447.01","$1,447.01","$1,741.00",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUSAN HEITZMAN FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00567420&tabIndex=1","H","P","T","PO BOX 151","VERNON","IN","47282","KAY JERNIGAN MCGRIFF","C00567420","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$136.29",,,,,,,,"$136.29",,,"$136.29",,,,"2015-01-01","2015-03-11",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUSAN NARVAIZ FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00504332&tabIndex=1","H","P","Q","102 WONDER WORLD DRIVE SUITE 304 PMB 304","SAN MARCOS","TX","78666","PAVLOVSKY, GAIL M.","C00504332","2016",,,,,,,,"$1,400.00","$1,400.00",,,,,,,,,,,,"$13.25","$1,413.25",,"$1,270.34",,,,,,,,,,,,,,,,,,,,,,,"$1,270.34","$1,400.00","$1,270.34","$185.67","$328.58","$95,043.46",,"2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUSIE LEE FOR NEVADA","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00578476&tabIndex=1","H","P","Q","1930 VILLAGE CENTER DRIVE SUITE 229","LAS VEGAS","NV","89134","LANDAU, ELLIS","C00578476","2016","$272,600.00","$5,160.00","$277,760.00",,,"$2,500.00",,,"$280,260.00",,"$50,000.00",,,,"$50,000.00",,,,,,,"$330,260.00",,"$4,020.37",,,,,,,,,,,,,,,,,,,,,,,"$4,020.37","$280,260.00","$4,020.37",,"$326,239.63","$50,000.00",,"2015-04-01","2015-06-30",,"H6NV04020",,,,,,,,,,,,,,,,,,,,,,"",
"SUSQUEHANNA BANCSHARES INC PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00387290&tabIndex=1","Q","U","T","26 NORTH CEDAR STREET","LITITZ","PA","17543","KEVIN P PARISE","C00387290","2016","$612.00","$4,747.00","$5,359.00",,,,,,"$5,359.00",,,,,,,,,,,,,"$5,361.73","$5,361.73",,,,,,,,,,"$3,982.00",,,,,,,,,,,,"$7,347.00","$11,329.88","$11,329.88","$5,361.73",,"$5,968.00",,,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"C",
"SUTTER COUNTY REPUBLICAN CENTRAL COMMITTEE (FED. ACCT.)","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00400465&tabIndex=1","Y","U","M","1328  ROYO RANCHERO DRIVE","YUBA CITY","CA","959938726","ROSS-POLLARD, KIMBERLY","C00400465","2016",,,,,,,,,,,,,,,,,,,,,,,,,"$475.23","$844.84","$2,436.24",,,,,,,,,,,,,,,,,,,"$1,591.40","$2,436.24",,"$1,591.40","$6,789.86","$4,353.62",,,"2015-01-01","2015-08-31",,"",,,,,,,,,,,"$1,116.17",,,,,,,,,,,"",
"SUZANNA AGUILERA -MARRERO FOR CD 22","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00556480&tabIndex=1","H","A","T","PO BOX 2014","TULARE","CA","93275","THOMAS O. CHAMBERLIN JR. ","C00556480","2016",,,,,,,,"$260.00","$260.00",,,,,,,,,,,,,"$318.00",,"$337.45",,,,"$58.00",,,,,,,,,,,,,,,,,"$8.50",,"$345.95","$260.00","$279.45","$27.95",,"$16,937.37",,"2015-01-01","2015-01-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SUZANNE SCHOLTE FOR CONGRESS","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00554147&tabIndex=1","H","P","Q","6312 SEVEN CORNERS CENTER #167","FALLS CHURCH","VA","22044","TAMARGO - TREASURER, MAURICIO","C00554147","2016","$3,600.00","$1,525.00","$5,125.00",,,,,,"$5,125.00",,,,,,,,,,,,,"$5,875.00",,"$6,319.25",,,,"$750.00",,,,,,,,,,,,,,,,,"$2,000.00",,"$8,319.25","$5,125.00","$5,569.25","$10,750.20","$8,305.95","$13,000.00","$2,000.00","2015-01-01","2015-06-30",,"",,,,,,,,,,,,,,,,,,,,,,"",
"SVB FINANCIAL GROUP PAC","http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00333658&tabIndex=1","Q","B","M","3005 TASMAN DR","SANTA CLARA","CA","95054","OLSON, REBECCA","C00333658","2016","$21,545.00","$3,190.15","$24,735.15",,,,,,"$24,735.15",,,,,,,,,,,,,"$25,735.15","$25,735.15",,,,,,,,,,"$8,200.00","$1,000.00",,,,,,,,,,,,"$8,200.00","$8,200.00","$24,735.15",,"$16,197.51","$33,732.66",,,"2015-01-01","2015-07-31",,"",,,,,,,,,,,,,,,,,,,,,,"C",
